Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
42	25.48	41	
47	25.48	41	
45	25.48	41	
10	25.48	41	
8	25.48	41	
22	25.48	41	
4	25.48	41	
35	25.48	41	
34	25.48	41	
37	25.48	41	
44	25.48	41	
35	38.64	62	
17	38.64	62	
2	38.64	62	
36	38.64	62	
41	38.64	62	
49	38.64	62	
40	38.64	62	
31	38.64	62	
34	38.64	62	
26	38.64	62	
30	38.64	62	
35	38.64	62	
45	38.64	62	
3	52.24	84	
13	52.24	84	
42	52.24	84	
3	52.24	84	
40	52.24	84	
23	52.24	84	
7	52.24	84	
29	52.24	84	
42	52.24	84	
22	52.24	84	
33	52.24	84	
29	52.24	84	
42	52.24	84	
23	52.24	84	
43	52.24	84	
25	4.14	7	
4	4.14	7	
28	4.14	7	
47	4.14	7	
20	4.14	7	
24	4.14	7	
18	4.14	7	
1	4.14	7	
37	4.14	7	
43	4.14	7	
29	4.14	7	
42	4.14	7	
5	4.14	7	
20	4.14	7	
14	17.83	29	
18	17.83	29	
9	17.83	29	
12	17.83	29	
29	17.83	29	
11	17.83	29	
28	17.83	29	
42	17.83	29	
35	0.84	1	
44	0.84	1	
19	0.84	1	
2	0.84	1	
29	0.84	1	
49	0.84	1	
17	0.84	1	
14	0.84	1	
36	0.84	1	
43	0.84	1	
43	0.84	1	
14	0.84	1	
39	45.20	72	
14	45.20	72	
17	45.20	72	
16	45.20	72	
36	45.20	72	
8	45.20	72	
3	45.20	72	
46	45.20	72	
5	45.20	72	
24	45.20	72	
26	59.01	94	
14	59.01	94	
38	59.01	94	
28	59.01	94	
23	59.01	94	
42	59.01	94	
44	59.01	94	
3	59.01	94	
42	41.77	67	
1	41.77	67	
37	41.77	67	
49	41.77	67	
43	41.77	67	
37	41.77	67	
49	41.77	67	
46	55.43	89	
28	55.43	89	
32	55.43	89	
10	55.43	89	
48	55.43	89	
13	55.43	89	
11	55.43	89	
10	55.43	89	
44	55.43	89	
37	55.43	89	
1	55.43	89	
49	6.92	11	
37	6.92	11	
28	6.92	11	
7	6.92	11	
41	6.92	11	
29	6.92	11	
43	6.92	11	
Node ID	CPU Usage (%)	Total number of transactions
28	6.76	11	
2	6.76	11	
23	6.76	11	
12	6.76	11	
17	6.76	11	
1	6.76	11	
47	6.76	11	
41	6.76	11	
25	6.76	11	
4	6.76	11	
44	6.76	11	
41	20.80	33	
32	20.80	33	
3	20.80	33	
4	20.80	33	
15	20.80	33	
4	20.80	33	
23	20.80	33	
46	20.80	33	
1	20.80	33	
17	20.80	33	
22	20.80	33	
17	3.62	6	
2	3.62	6	
17	3.62	6	
20	3.62	6	
33	3.62	6	
22	3.62	6	
8	3.62	6	
16	3.62	6	
41	3.62	6	
12	3.62	6	
30	3.62	6	
15	17.28	28	
32	17.28	28	
20	17.28	28	
25	17.28	28	
4	17.28	28	
4	17.28	28	
39	17.28	28	
6	30.97	50	
33	30.97	50	
21	30.97	50	
44	30.97	50	
29	30.97	50	
3	30.97	50	
26	30.97	50	
47	30.97	50	
30	30.97	50	
40	13.90	22	
42	13.90	22	
47	13.90	22	
45	13.90	22	
10	13.90	22	
8	13.90	22	
22	13.90	22	
4	13.90	22	
35	13.90	22	
34	13.90	22	
37	13.90	22	
44	13.90	22	
35	13.90	22	
17	27.37	44	
2	27.37	44	
36	27.37	44	
41	27.37	44	
49	27.37	44	
40	27.37	44	
31	27.37	44	
34	27.37	44	
