Source_ID Destination_ID Rating Votes
Source_ID Destination_ID Rating Votes
   54           32          5     1
   22           47          2     1
   30           34          0     1
    6           42          9     1
   15           31          1     1
    9           11          3     1
   54           28          9     1
    9            2          5     1
   33           25          2     1
   21            4          6     1
   36           38          1     1
    8           25          2     1
   19            7          7     1
   44            7          7     1
   36           29          1     1
   44            6          4     1
   39           37          3     1
   53           22         10     1
   41           18         10     1
   44            9          1     1
   49           22          5     1
   28           23          9     1
   41           47          8     1
   22            2          1     1
   29           13          4     1
   47           15          2     1
   56            8          1     1
   18           48          4     1
    3            4          4     1
   46           28          4     1
   22           15          5     1
    8            5          1     1
   10           31          9     1
   18           48          4     1
   52            6          7     1
   19            7          7     1
   39           25          5     1
   42           34          4     1
   17            8         10     1
   24           47          5     1
   34           18         10     1
   15           47          6     1
   15           35          0     1
   37           26          4     1
   53           44          0     1
   44           47          9     1
   15           10          6     1
   43            8          1     1
   37           13          4     1
   17            8         10     1
   49           46          2     1
   31           19          9     1
   24            8          3     1
   48           47          0     1
   34           11          5     1
    8            2          0     1
   52           17         10     1
   26           29          6     1
    4           49          8     1
   22           10          7     1
    8           45          6     1
   41           37          0     1
   15           35          0     1
   11           42         10     1
   33           41          4     1
   31           40          3     1
   15           47          6     1
    3           34          3     1
   18           26          7     1
   13           19          9     1
    8           29          2     1
   22           26          9     1
   53           43          1     1
   50           25          3     1
   43           45          1     1
   23            1         10     1
   15           10          6     1
   27            7          9     1
   12            7          0     1
   36           39          9     1
   37            1          6     1
   11           42         10     1
    7           42          8     1
   13           19          9     1
   48           13          7     1
   31           34          4     1
   12            6          7     1
   23           11          1     1
   45            7          3     1
   56           12          9     1
   23            3          7     1
   30           10          7     1
   18           26          7     1
   18            6          6     1
   30           44          2     1
   35           16          3     1
   47           48          2     1
   52           19          6     1
   12           31          0     1
   15           42          3     1
    7           37          3     1
   27           31          4     1
   22           38          4     1
    4           32         10     1
   49           17          8     1
   12            6          7     1
   25           11          2     1
   30           44          2     1
   43            1          9     1
   12            7          0     1
   12           31          0     1
   15           42          3     1
   18            6          6     1
   13           40          0     1
    2            6          0     1
   45           37          7     1
   36           13          8     1
   30           20          0     1
   10            8          2     1
   55           30          7     1
   44           16          5     1
   26            4          9     1
   56           17          2     1
    1           21          4     1
    3           49          6     1
   30           10          7     1
   38           16          4     1
   13           40          0     1
    2           34          5     1
   33           37          0     1
   29           24          1     1
   54            8         10     1
   12           35          1     1
   19           17          1     1
   19           48          6     1
   54           24          6     1
   34           31          7     1
    5           18          6     1
   40           46          6     1
   23           38          1     1
   23           14          2     1
   22           44          6     1
   22           18         10     1
   28           37          8     1
   12           35          1     1
   33           30          6     1
   46           39          0     1
   21           23          9     1
    3           20          4     1
   56           43          8     1
   16            4          9     1
