Node ID	Battery Consumption (%)	TotalNumber of Transactions
47	0.00008750	63	
45	0.00008750	63	
10	0.00011667	84	
8	0.00011667	84	
22	0.00011667	84	
4	0.00011667	84	
35	0.00011667	84	
34	0.00011667	84	
37	0.00011667	84	
44	0.00011667	84	
35	0.00011667	84	
17	0.00004028	29	
2	0.00004028	29	
36	0.00004028	29	
41	0.00004028	29	
49	0.00004028	29	
40	0.00004028	29	
31	0.00000278	2	
34	0.00000278	2	
26	0.00000278	2	
30	0.00000278	2	
35	0.00000278	2	
45	0.00010139	73	
3	0.00010139	73	
13	0.00010139	73	
3	0.00010139	73	
40	0.00010139	73	
23	0.00010139	73	
7	0.00010139	73	
29	0.00010139	73	
42	0.00010139	73	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00012639	91	
2	0.00012639	91	
23	0.00012639	91	
12	0.00012639	91	
17	0.00012639	91	
1	0.00012639	91	
47	0.00001944	14	
41	0.00001944	14	
25	0.00001944	14	
4	0.00001944	14	
44	0.00001111	8	
41	0.00001111	8	
32	0.00001111	8	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00006528	47	
2	0.00006528	47	
23	0.00006528	47	
12	0.00006528	47	
17	0.00006528	47	
1	0.00006528	47	
47	0.00009583	69	
41	0.00009583	69	
25	0.00009583	69	
4	0.00009583	69	
44	0.00008750	63	
41	0.00008750	63	
32	0.00008750	63	
3	0.00011944	86	
4	0.00011944	86	
15	0.00001111	8	
4	0.00001111	8	
23	0.00001111	8	
46	0.00011111	80	
1	0.00011111	80	
17	0.00011111	80	
22	0.00011111	80	
17	0.00000278	2	
2	0.00000278	2	
17	0.00000278	2	
20	0.00003333	24	
33	0.00003333	24	
22	0.00003333	24	
8	0.00003333	24	
16	0.00006389	46	
41	0.00006389	46	
12	0.00006389	46	
30	0.00006389	46	
32	0.00009444	68	
15	0.00009444	68	
20	0.00009444	68	
25	0.00009444	68	
4	0.00009444	68	
4	0.00009444	68	
39	0.00005694	41	
6	0.00005694	41	
33	0.00001806	13	
21	0.00001806	13	
44	0.00001806	13	
29	0.00001806	13	
3	0.00001806	13	
26	0.00004861	35	
47	0.00004861	35	
30	0.00004861	35	
40	0.00000972	7	
42	0.00000972	7	
47	0.00010833	78	
45	0.00010833	78	
10	0.00010833	78	
8	0.00010833	78	
22	0.00010833	78	
4	0.00010833	78	
35	0.00010833	78	
34	0.00000139	1	
37	0.00000139	1	
44	0.00000139	1	
35	0.00000139	1	
17	0.00003194	23	
2	0.00003194	23	
36	0.00003194	23	
41	0.00003194	23	
49	0.00013194	95	
40	0.00013194	95	
31	0.00013194	95	
34	0.00013194	95	
26	0.00013194	95	
30	0.00013194	95	
35	0.00002500	18	
45	0.00002500	18	
3	0.00002500	18	
13	0.00002500	18	
3	0.00002500	18	
40	0.00002500	18	
23	0.00002500	18	
7	0.00002500	18	
29	0.00002500	18	
42	0.00002500	18	
22	0.00002500	18	
33	0.00002500	18	
29	0.00002500	18	
42	0.00002500	18	
23	0.00005556	40	
43	0.00005556	40	
25	0.00005556	40	
4	0.00005556	40	
28	0.00005556	40	
47	0.00005556	40	
20	0.00005556	40	
24	0.00005556	40	
18	0.00005556	40	
1	0.00005556	40	
37	0.00005556	40	
43	0.00008472	61	
29	0.00008472	61	
5	0.00008472	61	
20	0.00004722	34	
14	0.00004722	34	
18	0.00004722	34	
9	0.00007639	55	
12	0.00007639	55	
29	0.00007639	55	
11	0.00007639	55	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00000417	3	
2	0.00000417	3	
23	0.00003472	25	
12	0.00003472	25	
17	0.00003472	25	
1	0.00003472	25	
47	0.00003472	25	
41	0.00006528	47	
25	0.00006528	47	
4	0.00006528	47	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00003750	27	
2	0.00003750	27	
23	0.00003750	27	
12	0.00003750	27	
17	0.00003750	27	
1	0.00003750	27	
47	0.00013611	98	
41	0.00013611	98	
25	0.00013611	98	
4	0.00013611	98	
44	0.00005972	43	
41	0.00005972	43	
32	0.00005972	43	
3	0.00009028	65	
4	0.00009028	65	
15	0.00012083	87	
4	0.00012083	87	
23	0.00012083	87	
46	0.00008194	59	
1	0.00008194	59	
17	0.00008194	59	
22	0.00008194	59	
17	0.00011250	81	
2	0.00011250	81	
17	0.00011250	81	
20	0.00007361	53	
33	0.00007361	53	
22	0.00007361	53	
8	0.00007361	53	
16	0.00003472	25	
41	0.00003472	25	
12	0.00003472	25	
30	0.00003472	25	
32	0.00006667	48	
15	0.00006667	48	
20	0.00006667	48	
25	0.00006667	48	
4	0.00006667	48	
4	0.00006667	48	
39	0.00002778	20	
6	0.00002778	20	
33	0.00012639	91	
21	0.00012639	91	
44	0.00012639	91	
29	0.00012639	91	
3	0.00012639	91	
26	0.00001944	14	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00010139	73	
2	0.00010139	73	
